county,deaths
New York State,23722
Albany,99
Allegany,2
Bronx,3206
Broome,46
Cattaraugus,3
Cayuga,2
Chautauqua,2
Chemung,2
Chenango,5
Clinton,4
Columbia,39
Cortland,1
Delaware,2
Dutchess,139
Erie,494
Essex,0
Franklin,0
Fulton,19
Genesee,5
Greene,13
Hamilton,1
Herkimer,3
Jefferson,0
Kings,4862
Lewis,5
Livingston,3
Madison,8
Monroe,195
Montgomery,4
Nassau,2114
New York,2002
Niagara,63
Oneida,52
Onondaga,114
Ontario,18
Orange,374
Orleans,35
Oswego,2
Otsego,4
Putnam,59
Queens,4905
Rensselaer,25
Richmond,724
Rockland,494
Saratoga,14
Schenectady,27
Schoharie,2
Schuyler,0
Seneca,1
St. Lawrence,2
Steuben,27
Suffolk,1871
Sullivan,30
Tioga,18
Tompkins,0
Ulster,74
Warren,27
Washington,14
Wayne,2
Westchester,1357
Wyoming,5
Yates,6
