NAME,date,deaths
United States,2020-03-04T00:00:00Z,11
Washington,2020-03-04T00:00:00Z,10
United States,2020-03-05T00:00:00Z,12
Washington,2020-03-05T00:00:00Z,11
United States,2020-03-06T00:00:00Z,14
Washington,2020-03-06T00:00:00Z,13
United States,2020-03-07T00:00:00Z,17
Washington,2020-03-07T00:00:00Z,16
United States,2020-03-08T00:00:00Z,21
Washington,2020-03-08T00:00:00Z,18
United States,2020-03-09T00:00:00Z,22
Washington,2020-03-09T00:00:00Z,19
United States,2020-03-10T00:00:00Z,28
Washington,2020-03-10T00:00:00Z,23
United States,2020-03-11T00:00:00Z,32
Washington,2020-03-11T00:00:00Z,24
United States,2020-03-12T00:00:00Z,40
Washington,2020-03-12T00:00:00Z,31
United States,2020-03-13T00:00:00Z,48
Washington,2020-03-13T00:00:00Z,37
United States,2020-03-14T00:00:00Z,52
Washington,2020-03-14T00:00:00Z,39
United States,2020-03-15T00:00:00Z,60
Washington,2020-03-15T00:00:00Z,40
United States,2020-03-16T00:00:00Z,84
New York,2020-03-16T00:00:00Z,10
Washington,2020-03-16T00:00:00Z,48
United States,2020-03-17T00:00:00Z,107
California,2020-03-17T00:00:00Z,12
New York,2020-03-17T00:00:00Z,13
Washington,2020-03-17T00:00:00Z,55
United States,2020-03-18T00:00:00Z,143
California,2020-03-18T00:00:00Z,16
New York,2020-03-18T00:00:00Z,17
Washington,2020-03-18T00:00:00Z,67
United States,2020-03-19T00:00:00Z,208
California,2020-03-19T00:00:00Z,18
Georgia,2020-03-19T00:00:00Z,10
Louisiana,2020-03-19T00:00:00Z,10
New York,2020-03-19T00:00:00Z,38
Washington,2020-03-19T00:00:00Z,73
United States,2020-03-20T00:00:00Z,257
California,2020-03-20T00:00:00Z,24
Florida,2020-03-20T00:00:00Z,11
Georgia,2020-03-20T00:00:00Z,14
Louisiana,2020-03-20T00:00:00Z,14
New Jersey,2020-03-20T00:00:00Z,11
New York,2020-03-20T00:00:00Z,46
Washington,2020-03-20T00:00:00Z,83
United States,2020-03-21T00:00:00Z,317
California,2020-03-21T00:00:00Z,25
Florida,2020-03-21T00:00:00Z,13
Georgia,2020-03-21T00:00:00Z,20
Louisiana,2020-03-21T00:00:00Z,20
New Jersey,2020-03-21T00:00:00Z,16
New York,2020-03-21T00:00:00Z,60
Washington,2020-03-21T00:00:00Z,94
United States,2020-03-22T00:00:00Z,426
California,2020-03-22T00:00:00Z,30
Florida,2020-03-22T00:00:00Z,13
Georgia,2020-03-22T00:00:00Z,25
Louisiana,2020-03-22T00:00:00Z,20
New Jersey,2020-03-22T00:00:00Z,20
New York,2020-03-22T00:00:00Z,117
Washington,2020-03-22T00:00:00Z,97
United States,2020-03-23T00:00:00Z,551
California,2020-03-23T00:00:00Z,39
Connecticut,2020-03-23T00:00:00Z,10
Florida,2020-03-23T00:00:00Z,18
Georgia,2020-03-23T00:00:00Z,25
Illinois,2020-03-23T00:00:00Z,12
Louisiana,2020-03-23T00:00:00Z,35
Michigan,2020-03-23T00:00:00Z,15
New Jersey,2020-03-23T00:00:00Z,27
New York,2020-03-23T00:00:00Z,158
Washington,2020-03-23T00:00:00Z,109
United States,2020-03-24T00:00:00Z,705
California,2020-03-24T00:00:00Z,50
Connecticut,2020-03-24T00:00:00Z,12
Florida,2020-03-24T00:00:00Z,18
Georgia,2020-03-24T00:00:00Z,32
Illinois,2020-03-24T00:00:00Z,16
Indiana,2020-03-24T00:00:00Z,12
Louisiana,2020-03-24T00:00:00Z,46
Massachusetts,2020-03-24T00:00:00Z,11
Michigan,2020-03-24T00:00:00Z,24
New Jersey,2020-03-24T00:00:00Z,44
New York,2020-03-24T00:00:00Z,210
Texas,2020-03-24T00:00:00Z,12
Washington,2020-03-24T00:00:00Z,116
United States,2020-03-25T00:00:00Z,941
California,2020-03-25T00:00:00Z,65
Colorado,2020-03-25T00:00:00Z,16
Connecticut,2020-03-25T00:00:00Z,19
Florida,2020-03-25T00:00:00Z,23
Georgia,2020-03-25T00:00:00Z,40
Illinois,2020-03-25T00:00:00Z,19
Indiana,2020-03-25T00:00:00Z,14
Louisiana,2020-03-25T00:00:00Z,65
Massachusetts,2020-03-25T00:00:00Z,15
Michigan,2020-03-25T00:00:00Z,43
New Jersey,2020-03-25T00:00:00Z,62
New York,2020-03-25T00:00:00Z,285
Ohio,2020-03-25T00:00:00Z,11
Oregon,2020-03-25T00:00:00Z,10
Pennsylvania,2020-03-25T00:00:00Z,15
Texas,2020-03-25T00:00:00Z,15
Washington,2020-03-25T00:00:00Z,133
United States,2020-03-26T00:00:00Z,1208
California,2020-03-26T00:00:00Z,81
Colorado,2020-03-26T00:00:00Z,19
Connecticut,2020-03-26T00:00:00Z,21
Florida,2020-03-26T00:00:00Z,29
Georgia,2020-03-26T00:00:00Z,48
Illinois,2020-03-26T00:00:00Z,26
Indiana,2020-03-26T00:00:00Z,17
Louisiana,2020-03-26T00:00:00Z,83
Massachusetts,2020-03-26T00:00:00Z,25
Michigan,2020-03-26T00:00:00Z,61
Nevada,2020-03-26T00:00:00Z,10
New Jersey,2020-03-26T00:00:00Z,81
New York,2020-03-26T00:00:00Z,385
Ohio,2020-03-26T00:00:00Z,15
Oregon,2020-03-26T00:00:00Z,11
Pennsylvania,2020-03-26T00:00:00Z,18
Texas,2020-03-26T00:00:00Z,21
Virginia,2020-03-26T00:00:00Z,10
Washington,2020-03-26T00:00:00Z,150
Wisconsin,2020-03-26T00:00:00Z,10
United States,2020-03-27T00:00:00Z,1578
Arizona,2020-03-27T00:00:00Z,13
California,2020-03-27T00:00:00Z,94
Colorado,2020-03-27T00:00:00Z,27
Connecticut,2020-03-27T00:00:00Z,27
Florida,2020-03-27T00:00:00Z,35
Georgia,2020-03-27T00:00:00Z,64
Illinois,2020-03-27T00:00:00Z,34
Indiana,2020-03-27T00:00:00Z,25
Louisiana,2020-03-27T00:00:00Z,119
Massachusetts,2020-03-27T00:00:00Z,35
Michigan,2020-03-27T00:00:00Z,92
Nevada,2020-03-27T00:00:00Z,10
New Jersey,2020-03-27T00:00:00Z,108
New York,2020-03-27T00:00:00Z,527
Ohio,2020-03-27T00:00:00Z,19
Oregon,2020-03-27T00:00:00Z,12
Pennsylvania,2020-03-27T00:00:00Z,22
South Carolina,2020-03-27T00:00:00Z,13
Texas,2020-03-27T00:00:00Z,26
Vermont,2020-03-27T00:00:00Z,10
Virginia,2020-03-27T00:00:00Z,10
Washington,2020-03-27T00:00:00Z,157
Wisconsin,2020-03-27T00:00:00Z,14
United States,2020-03-28T00:00:00Z,2178
Arizona,2020-03-28T00:00:00Z,15
California,2020-03-28T00:00:00Z,110
Colorado,2020-03-28T00:00:00Z,31
Connecticut,2020-03-28T00:00:00Z,33
Florida,2020-03-28T00:00:00Z,54
Georgia,2020-03-28T00:00:00Z,69
Illinois,2020-03-28T00:00:00Z,47
Indiana,2020-03-28T00:00:00Z,31
