NAME,date,deaths
United States,2020-03-04T00:00:00Z,11
Washington,2020-03-04T00:00:00Z,10
United States,2020-03-05T00:00:00Z,12
Washington,2020-03-05T00:00:00Z,11
United States,2020-03-06T00:00:00Z,14
Washington,2020-03-06T00:00:00Z,13
United States,2020-03-07T00:00:00Z,17
Washington,2020-03-07T00:00:00Z,16
United States,2020-03-08T00:00:00Z,21
Washington,2020-03-08T00:00:00Z,18
United States,2020-03-09T00:00:00Z,22
Washington,2020-03-09T00:00:00Z,19
United States,2020-03-10T00:00:00Z,28
Washington,2020-03-10T00:00:00Z,23
United States,2020-03-11T00:00:00Z,33
Washington,2020-03-11T00:00:00Z,24
United States,2020-03-12T00:00:00Z,43
Washington,2020-03-12T00:00:00Z,31
United States,2020-03-13T00:00:00Z,51
Washington,2020-03-13T00:00:00Z,37
United States,2020-03-14T00:00:00Z,58
Washington,2020-03-14T00:00:00Z,39
United States,2020-03-15T00:00:00Z,70
New York,2020-03-15T00:00:00Z,10
Washington,2020-03-15T00:00:00Z,40
United States,2020-03-16T00:00:00Z,97
New York,2020-03-16T00:00:00Z,21
Washington,2020-03-16T00:00:00Z,48
United States,2020-03-17T00:00:00Z,132
California,2020-03-17T00:00:00Z,12
New York,2020-03-17T00:00:00Z,35
Washington,2020-03-17T00:00:00Z,55
United States,2020-03-18T00:00:00Z,191
California,2020-03-18T00:00:00Z,16
New York,2020-03-18T00:00:00Z,60
Washington,2020-03-18T00:00:00Z,67
United States,2020-03-19T00:00:00Z,264
California,2020-03-19T00:00:00Z,18
Georgia,2020-03-19T00:00:00Z,10
Louisiana,2020-03-19T00:00:00Z,10
New Jersey,2020-03-19T00:00:00Z,13
New York,2020-03-19T00:00:00Z,88
Washington,2020-03-19T00:00:00Z,73
United States,2020-03-20T00:00:00Z,363
California,2020-03-20T00:00:00Z,24
Florida,2020-03-20T00:00:00Z,11
Georgia,2020-03-20T00:00:00Z,14
Louisiana,2020-03-20T00:00:00Z,14
New Jersey,2020-03-20T00:00:00Z,16
New York,2020-03-20T00:00:00Z,143
Washington,2020-03-20T00:00:00Z,83
United States,2020-03-21T00:00:00Z,462
California,2020-03-21T00:00:00Z,25
Florida,2020-03-21T00:00:00Z,13
Georgia,2020-03-21T00:00:00Z,20
Louisiana,2020-03-21T00:00:00Z,20
New Jersey,2020-03-21T00:00:00Z,22
New York,2020-03-21T00:00:00Z,195
Washington,2020-03-21T00:00:00Z,94
United States,2020-03-22T00:00:00Z,572
California,2020-03-22T00:00:00Z,30
Florida,2020-03-22T00:00:00Z,13
Georgia,2020-03-22T00:00:00Z,25
Louisiana,2020-03-22T00:00:00Z,20
Michigan,2020-03-22T00:00:00Z,12
New Jersey,2020-03-22T00:00:00Z,29
New York,2020-03-22T00:00:00Z,249
Washington,2020-03-22T00:00:00Z,97
United States,2020-03-23T00:00:00Z,761
California,2020-03-23T00:00:00Z,39
Connecticut,2020-03-23T00:00:00Z,10
Florida,2020-03-23T00:00:00Z,18
Georgia,2020-03-23T00:00:00Z,25
Illinois,2020-03-23T00:00:00Z,12
Louisiana,2020-03-23T00:00:00Z,35
Michigan,2020-03-23T00:00:00Z,18
New Jersey,2020-03-23T00:00:00Z,40
New York,2020-03-23T00:00:00Z,351
Texas,2020-03-23T00:00:00Z,10
Washington,2020-03-23T00:00:00Z,109
United States,2020-03-24T00:00:00Z,1000
California,2020-03-24T00:00:00Z,50
Colorado,2020-03-24T00:00:00Z,11
Connecticut,2020-03-24T00:00:00Z,12
Florida,2020-03-24T00:00:00Z,18
Georgia,2020-03-24T00:00:00Z,32
Illinois,2020-03-24T00:00:00Z,16
Indiana,2020-03-24T00:00:00Z,12
Louisiana,2020-03-24T00:00:00Z,46
Massachusetts,2020-03-24T00:00:00Z,11
Michigan,2020-03-24T00:00:00Z,31
New Jersey,2020-03-24T00:00:00Z,60
New York,2020-03-24T00:00:00Z,475
Texas,2020-03-24T00:00:00Z,15
Washington,2020-03-24T00:00:00Z,116
United States,2020-03-25T00:00:00Z,1324
California,2020-03-25T00:00:00Z,65
Colorado,2020-03-25T00:00:00Z,20
Connecticut,2020-03-25T00:00:00Z,19
Florida,2020-03-25T00:00:00Z,23
Georgia,2020-03-25T00:00:00Z,40
Illinois,2020-03-25T00:00:00Z,19
Indiana,2020-03-25T00:00:00Z,14
Louisiana,2020-03-25T00:00:00Z,65
Massachusetts,2020-03-25T00:00:00Z,15
Michigan,2020-03-25T00:00:00Z,51
New Jersey,2020-03-25T00:00:00Z,81
New York,2020-03-25T00:00:00Z,632
Ohio,2020-03-25T00:00:00Z,11
Oregon,2020-03-25T00:00:00Z,10
Pennsylvania,2020-03-25T00:00:00Z,15
Texas,2020-03-25T00:00:00Z,19
Washington,2020-03-25T00:00:00Z,133
United States,2020-03-26T00:00:00Z,1732
California,2020-03-26T00:00:00Z,81
Colorado,2020-03-26T00:00:00Z,19
Connecticut,2020-03-26T00:00:00Z,21
Florida,2020-03-26T00:00:00Z,29
Georgia,2020-03-26T00:00:00Z,48
Illinois,2020-03-26T00:00:00Z,26
Indiana,2020-03-26T00:00:00Z,17
Louisiana,2020-03-26T00:00:00Z,83
Massachusetts,2020-03-26T00:00:00Z,25
Michigan,2020-03-26T00:00:00Z,71
Nevada,2020-03-26T00:00:00Z,10
New Jersey,2020-03-26T00:00:00Z,109
New York,2020-03-26T00:00:00Z,867
Ohio,2020-03-26T00:00:00Z,15
Oregon,2020-03-26T00:00:00Z,11
Pennsylvania,2020-03-26T00:00:00Z,18
Texas,2020-03-26T00:00:00Z,25
Virginia,2020-03-26T00:00:00Z,10
Washington,2020-03-26T00:00:00Z,150
Wisconsin,2020-03-26T00:00:00Z,10
United States,2020-03-27T00:00:00Z,2250
Arizona,2020-03-27T00:00:00Z,13
California,2020-03-27T00:00:00Z,94
Colorado,2020-03-27T00:00:00Z,31
Connecticut,2020-03-27T00:00:00Z,27
Florida,2020-03-27T00:00:00Z,35
Georgia,2020-03-27T00:00:00Z,64
Illinois,2020-03-27T00:00:00Z,34
Indiana,2020-03-27T00:00:00Z,25
Louisiana,2020-03-27T00:00:00Z,119
Massachusetts,2020-03-27T00:00:00Z,35
Michigan,2020-03-27T00:00:00Z,107
Nevada,2020-03-27T00:00:00Z,10
New Jersey,2020-03-27T00:00:00Z,141
New York,2020-03-27T00:00:00Z,1139
Ohio,2020-03-27T00:00:00Z,19
Oregon,2020-03-27T00:00:00Z,12
Pennsylvania,2020-03-27T00:00:00Z,22
South Carolina,2020-03-27T00:00:00Z,13
Texas,2020-03-27T00:00:00Z,34
Vermont,2020-03-27T00:00:00Z,10
Virginia,2020-03-27T00:00:00Z,10
Washington,2020-03-27T00:00:00Z,157
Wisconsin,2020-03-27T00:00:00Z,14
United States,2020-03-28T00:00:00Z,2883
Arizona,2020-03-28T00:00:00Z,15
California,2020-03-28T00:00:00Z,110
Colorado,2020-03-28T00:00:00Z,44
